hf_allocation,hf_harvest_rate,backend_strategy,refi_cap,hf_liquidation_cap,routing_policy,trigger_threshold,lp_cash_moic,lp_hurdle_achieved,year_hurdle_achieved,gp_residual_nav,total_gp_economics,trigger_executed,trigger_hf_pct,trigger_refi_pct,final_fund_nav
0.1,0.5,Balanced Liquidity,0.35,0.85,More Aggressive HF Compounding,0.0,0.09706627749377757,False,,0.0,281955.3235600343,False,0.0,0.0,25410246.08959811
0.1,0.5,Balanced Liquidity,0.35,0.85,More Aggressive HF Compounding,0.1,0.09706627749377757,False,,0.0,281955.3235600343,False,0.0,0.0,25410246.08959811
0.1,0.5,Balanced Liquidity,0.35,0.85,More Aggressive HF Compounding,0.5,0.09706627749377757,False,,0.0,281955.3235600343,False,0.0,0.0,25410246.08959811
0.1,0.5,Balanced Liquidity,0.35,0.85,More Aggressive HF Compounding,1.0,0.09706627749377757,False,,0.0,281955.3235600343,False,0.0,0.0,25410246.08959811
0.1,0.5,Balanced Liquidity,0.35,0.85,More Aggressive HF Compounding,1.25,0.09706627749377757,False,,0.0,281955.3235600343,False,0.0,0.0,25410246.08959811
0.1,0.5,HF Led,0.15,1.0,More Aggressive HF Compounding,0.0,0.09706627749377757,False,,0.0,281955.3235600343,False,0.0,0.0,25410246.08959811
0.1,0.5,HF Led,0.15,1.0,More Aggressive HF Compounding,0.1,0.09706627749377757,False,,0.0,281955.3235600343,False,0.0,0.0,25410246.08959811
0.1,0.5,HF Led,0.15,1.0,More Aggressive HF Compounding,0.5,0.09706627749377757,False,,0.0,281955.3235600343,False,0.0,0.0,25410246.08959811
0.1,0.5,HF Led,0.15,1.0,More Aggressive HF Compounding,1.0,0.09706627749377757,False,,0.0,281955.3235600343,False,0.0,0.0,25410246.08959811
0.1,0.5,HF Led,0.15,1.0,More Aggressive HF Compounding,1.25,0.09706627749377757,False,,0.0,281955.3235600343,False,0.0,0.0,25410246.08959811
0.1,0.5,No Refi,0.0,1.0,More Aggressive HF Compounding,0.0,0.09706627749377757,False,,0.0,281955.3235600343,False,0.0,0.0,25410246.08959811
0.1,0.5,No Refi,0.0,1.0,More Aggressive HF Compounding,0.1,0.09706627749377757,False,,0.0,281955.3235600343,False,0.0,0.0,25410246.08959811
0.1,0.5,No Refi,0.0,1.0,More Aggressive HF Compounding,0.5,0.09706627749377757,False,,0.0,281955.3235600343,False,0.0,0.0,25410246.08959811
0.1,0.5,No Refi,0.0,1.0,More Aggressive HF Compounding,1.0,0.09706627749377757,False,,0.0,281955.3235600343,False,0.0,0.0,25410246.08959811
0.1,0.5,No Refi,0.0,1.0,More Aggressive HF Compounding,1.25,0.09706627749377757,False,,0.0,281955.3235600343,False,0.0,0.0,25410246.08959811
0.1,0.5,Refi Led,0.4,0.85,Very Backend Heavy,0.0,0.0,False,,0.0,281955.3235600343,False,0.0,0.0,26830547.502294708
0.1,0.5,Refi Led,0.4,0.85,Very Backend Heavy,0.1,0.0,False,,0.0,281955.3235600343,False,0.0,0.0,26830547.502294708
0.1,0.5,Refi Led,0.4,0.85,Very Backend Heavy,0.5,0.0,False,,0.0,281955.3235600343,False,0.0,0.0,26830547.502294708
0.1,0.5,Refi Led,0.4,0.85,Very Backend Heavy,1.0,0.0,False,,0.0,281955.3235600343,False,0.0,0.0,26830547.502294708
0.1,0.5,Refi Led,0.4,0.85,Very Backend Heavy,1.25,0.0,False,,0.0,281955.3235600343,False,0.0,0.0,26830547.502294708
0.1,0.5,Balanced Liquidity,0.35,0.85,Very Backend Heavy,0.0,0.0,False,,0.0,281955.3235600343,False,0.0,0.0,26830547.502294708
0.1,0.5,Balanced Liquidity,0.35,0.85,Very Backend Heavy,0.1,0.0,False,,0.0,281955.3235600343,False,0.0,0.0,26830547.502294708
0.1,0.5,Balanced Liquidity,0.35,0.85,Very Backend Heavy,0.5,0.0,False,,0.0,281955.3235600343,False,0.0,0.0,26830547.502294708
0.1,0.5,Balanced Liquidity,0.35,0.85,Very Backend Heavy,1.0,0.0,False,,0.0,281955.3235600343,False,0.0,0.0,26830547.502294708
0.1,0.5,Balanced Liquidity,0.35,0.85,Very Backend Heavy,1.25,0.0,False,,0.0,281955.3235600343,False,0.0,0.0,26830547.502294708
0.1,0.5,HF Led,0.15,1.0,Very Backend Heavy,0.0,0.0,False,,0.0,281955.3235600343,False,0.0,0.0,26830547.502294708
0.1,0.5,HF Led,0.15,1.0,Very Backend Heavy,0.1,0.0,False,,0.0,281955.3235600343,False,0.0,0.0,26830547.502294708
0.1,0.5,HF Led,0.15,1.0,Very Backend Heavy,0.5,0.0,False,,0.0,281955.3235600343,False,0.0,0.0,26830547.502294708
0.1,0.5,HF Led,0.15,1.0,Very Backend Heavy,1.0,0.0,False,,0.0,281955.3235600343,False,0.0,0.0,26830547.502294708
0.1,0.5,HF Led,0.15,1.0,Very Backend Heavy,1.25,0.0,False,,0.0,281955.3235600343,False,0.0,0.0,26830547.502294708
0.1,0.5,No Refi,0.0,1.0,Very Backend Heavy,0.0,0.0,False,,0.0,281955.3235600343,False,0.0,0.0,26830547.502294708
0.1,0.5,No Refi,0.0,1.0,Very Backend Heavy,0.1,0.0,False,,0.0,281955.3235600343,False,0.0,0.0,26830547.502294708
